t_unix_s,pressure_kpa
1769111751.766072,100.290
1769111751.767669,100.290
1769111751.768808,100.290
1769111751.770111,100.290
1769111751.771809,100.290
1769111751.775279,100.280
1769111751.777014,100.290
1769111751.804813,100.280
1769111751.819066,100.290
1769111751.935625,100.290
1769111751.954579,100.280
1769111751.958611,100.300
1769111751.964606,100.280
1769111751.974019,100.290
1769111751.976014,100.290
1769111751.977508,100.290
1769111751.987650,100.280
1769111751.991457,100.290
1769111751.995029,100.290
1769111751.997054,100.280
1769111752.000063,100.290
1769111752.002258,100.280
1769111752.004697,100.300
1769111752.005511,100.280
1769111752.006536,100.290
1769111752.007535,100.290
1769111752.010042,100.290
1769111752.012899,100.290
1769111752.015498,100.290
1769111752.016930,100.300
1769111752.022298,100.290
1769111752.025547,100.290
1769111752.026808,100.290
1769111752.029739,100.290
1769111752.032326,100.280
1769111752.034887,100.290
1769111752.036139,100.290
1769111752.037297,100.290
1769111752.041319,100.300
1769111752.042335,100.290
1769111752.043877,100.280
1769111752.047141,100.300
1769111752.051957,100.290
1769111752.054554,100.290
1769111752.056097,100.300
1769111752.057357,100.290
1769111752.058061,100.290
1769111752.062499,100.290
1769111752.063631,100.280
1769111752.071939,100.300
1769111752.101708,100.290
1769111752.130671,100.280
1769111752.158438,100.280
1769111752.188417,100.290
1769111752.216409,100.290
1769111752.245351,100.290
1769111752.274050,100.280
1769111752.302236,100.290
1769111752.330615,100.290
1769111752.359874,100.290
1769111752.388392,100.290
1769111752.413100,100.290
1769111752.440621,100.290
1769111752.470137,100.290
1769111752.499783,100.280
1769111752.527781,100.290
1769111752.556705,100.280
1769111752.584774,100.290
1769111752.613676,100.290
1769111752.642698,100.290
1769111752.670682,100.290
1769111752.726896,100.290
1769111752.739081,100.280
1769111752.772123,100.290
1769111752.787068,100.290
1769111752.813810,100.280
1769111752.839258,100.280
1769111752.867429,100.280
1769111752.896805,100.290
1769111752.924655,100.280
1769111752.953789,100.290
1769111752.982592,100.280
1769111753.011554,100.290
1769111753.039789,100.280
1769111753.063910,100.290
1769111753.092314,100.290
